unique_id,major_group_code,major_group_name,sub_major_group_code,sub_major_group_name,minor_group_code,minor_group_name,unit_group_code,group_title
soc-y1aa,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,111,Chief Executives and Senior Officials,1111,Chief executives and senior officials
soc-y1ag,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,111,Chief Executives and Senior Officials,1112,Elected officers and representatives
soc-y1ak,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,112,Production Managers and Directors,1121,Production managers and directors in manufacturing
soc-y1am,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,112,Production Managers and Directors,1122,Production managers and directors in construction
soc-y1ao,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,112,Production Managers and Directors,1123,Production managers and directors in mining and energy
soc-y1as,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,113,Functional Managers and Directors,1131,Financial managers and directors
soc-y1ax,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,113,Functional Managers and Directors,1132,"Marketing, sales and advertising directors"
soc-y1bb,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,113,Functional Managers and Directors,1133,Public relations and communications directors
soc-y1bd,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,113,Functional Managers and Directors,1134,Purchasing managers and directors
soc-y1bh,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,113,Functional Managers and Directors,1135,Charitable organisation managers and directors
